time,P
2023-03-27 8:45:05.4840,100128.29
2023-03-27 8:45:06.5500,100128.13
2023-03-27 8:45:07.6140,100128.13
2023-03-27 8:45:08.6800,100128.24
2023-03-27 8:45:09.7360,100128.32
2023-03-27 8:45:10.8000,100128.32
2023-03-27 8:45:11.8670,100127.62
2023-03-27 8:45:12.9300,100126.2
2023-03-27 8:45:13.9970,100124.16
2023-03-27 8:45:15.0600,100121.9
2023-03-27 8:45:16.1180,100118.82
2023-03-27 8:45:17.1810,100115.78
2023-03-27 8:45:18.2500,100112.38
2023-03-27 8:45:19.3150,100108.76
2023-03-27 8:45:20.3810,100104.96
2023-03-27 8:45:21.4530,100102.17
2023-03-27 8:45:22.4970,100100.07
2023-03-27 8:45:23.5630,100098.7
2023-03-27 8:45:24.6390,100098.1
2023-03-27 8:45:25.6960,100098.08
2023-03-27 8:45:26.7620,100098.1
2023-03-27 8:45:27.8260,100098.11
2023-03-27 8:45:28.8820,100098.11
2023-03-27 8:45:29.9470,100097.2
2023-03-27 8:45:31.0110,100095.41
2023-03-27 8:45:32.0770,100093.72
2023-03-27 8:45:33.1390,100091.58
2023-03-27 8:45:34.1950,100090.13
2023-03-27 8:45:35.2620,100089.34
2023-03-27 8:45:36.3270,100089.2
2023-03-27 8:45:37.3900,100089.2
2023-03-27 8:45:38.4570,100089.47
2023-03-27 8:45:39.5110,100089.48
2023-03-27 8:45:40.5750,100089.58
2023-03-27 8:45:41.6430,100089.92
2023-03-27 8:45:42.7070,100089.92
2023-03-27 8:45:43.7730,100089.9
2023-03-27 8:45:44.8410,100089.39
2023-03-27 8:45:45.8910,100088.7
2023-03-27 8:45:46.9560,100087.45
2023-03-27 8:45:48.0280,100085.78
2023-03-27 8:45:49.0860,100084.13
2023-03-27 8:45:50.1520,100082.74
2023-03-27 8:45:51.2140,100081.67
2023-03-27 8:45:52.2720,100080.92
2023-03-27 8:45:53.3370,100080.8
2023-03-27 8:45:54.4010,100080.7
2023-03-27 8:45:55.4660,100080.45
2023-03-27 8:45:56.5310,100079.51
2023-03-27 8:45:57.5880,100078.31
2023-03-27 8:45:58.6540,100076.77
2023-03-27 8:45:59.7190,100074.94
2023-03-27 8:46:00.7840,100073.61
2023-03-27 8:46:01.8500,100072.89
2023-03-27 8:46:02.9160,100072.07
2023-03-27 8:46:03.9710,100071.29
2023-03-27 8:46:05.0340,100070.13
2023-03-27 8:46:06.0990,100068.37
2023-03-27 8:46:07.1640,100066.06
2023-03-27 8:46:08.2290,100063.23
2023-03-27 8:46:09.2840,100060.08
2023-03-27 8:46:10.3530,100057.04
2023-03-27 8:46:11.4290,100054.19
2023-03-27 8:46:12.4830,100051.68
2023-03-27 8:46:13.5460,100049.85
2023-03-27 8:46:14.6140,100048.77
2023-03-27 8:46:15.6660,100048.36
2023-03-27 8:46:16.7320,100048.19
2023-03-27 8:46:17.8010,100048.17
2023-03-27 8:46:18.8620,100048.19
2023-03-27 8:46:19.9290,100048.39
2023-03-27 8:46:20.9860,100048.51
2023-03-27 8:46:22.0470,100048.51
2023-03-27 8:46:23.1110,100048.25
2023-03-27 8:46:24.1770,100047.96
2023-03-27 8:46:25.2410,100047.09
2023-03-27 8:46:26.3100,100046.04
2023-03-27 8:46:27.3650,100045.21
2023-03-27 8:46:28.4300,100044.62
2023-03-27 8:46:29.4960,100044.18
2023-03-27 8:46:30.5610,100044.16
2023-03-27 8:46:31.6290,100044.16
2023-03-27 8:46:32.6910,100044.17
2023-03-27 8:46:33.7440,100044.17
2023-03-27 8:46:34.8170,100044.04
2023-03-27 8:46:35.8740,100043.84
2023-03-27 8:46:36.9390,100043.84
2023-03-27 8:46:38.0030,100043.84
2023-03-27 8:46:39.0600,100044.01
2023-03-27 8:46:40.1250,100044.15
2023-03-27 8:46:41.1890,100044.34
2023-03-27 8:46:42.2550,100044.5
2023-03-27 8:46:43.3200,100044.8
2023-03-27 8:46:44.3850,100044.86
2023-03-27 8:46:45.4400,100045.01
2023-03-27 8:46:46.5040,100045.18
